	RegionName	StateName	1/31/2019	2/28/2019	3/31/2019	4/30/2019	5/31/2019	6/30/2019	7/31/2019	8/31/2019	9/30/2019	10/31/2019	11/30/2019	12/31/2019	1/31/2020	2/29/2020	3/31/2020	4/30/2020	5/31/2020	lat	lng
40	Jacksonville, FL	FL	122520	122757	123080	123721	124321	125008	125554	126019	126565	127114	127469	127862	128495	129273	130050	130387	130544	30.3321838	-81.65565099999999
41	Memphis, TN	TN	87302	87591	88226	88652	89395	90334	91254	91865	92484	92927	93439	94233	94982	95818	96318	96946	97246	35.1495343	-90.0489801
42	Oklahoma City, OK	OK	60034	60500	60611	60862	60825	61519	62266	63284	63983	64447	64670	64764	65071	65515	66246	66895	67592	35.4675602	-97.5164276
43	Louisville-Jefferson County, KY	KY	100384	100898	101400	102047	103117	104224	105179	105855	106757	107747	109015	110093	111239	112098	112987	113857	114443	38.2526647	-85.7584557
44	Hartford, CT	CT	67879	67880	67673	67869	67650	68188	68762	69385	69576	69567	69652	69696	69813	69754	69839	69848	70039	41.7658043	-72.6733723
45	Richmond, VA	VA	152653	153289	154436	155113	155829	156375	156804	157523	158154	158725	159306	160096	160865	161676	162313	163130	164135	37.5407246	-77.4360481
46	New Orleans, LA	LA	99155	98536	98324	97739	97672	97723	98034	98175	98151	97894	97563	97530	97625	97737	97598	97769	97724	29.95106579999999	-90.0715323
47	Buffalo, NY	NY	110920	111631	112853	113523	114468	115151	115666	115978	115971	116223	116629	117250	117819	118318	118590	119026	119258	42.88644679999999	-78.8783689
48	Raleigh, NC	NC	174482	176083	176749	176934	177011	177628	178377	178882	179326	179789	180323	180652	181057	181543	182459	183608	184716	35.7795897	-78.6381787
49	Birmingham, AL	AL	79088	79354	79447	79023	79246	80025	80744	80890	80881	81306	81892	82560	83250	83876	85115	86475	87591	33.5185892	-86.8103567
50	Salt Lake City, UT	UT	250655	253290	254754	255572	255542	256454	257372	259284	260916	261838	262979	264344	266438	267792	269573	272039	275311	40.7607793	-111.8910474
51	Rochester, NY	NY	96547	97279	98012	98717	99626	100224	100542	100790	101069	101523	101957	102401	102829	103410	104059	104854	105498	43.15657789999999	-77.6088465
52	Grand Rapids, MI	MI	164043	164669	164937	165058	165901	166932	168121	168436	169118	169838	171036	171708	172413	173003	174006	174967	175158	42.9633599	-85.6680863
53	Tucson, AZ	AZ	137786	138732	139539	139899	140533	142025	143364	144536	145509	146634	147818	149653	150784	151902	153209	154673	155723	32.2226066	-110.9747108
54	Urban Honolulu, HI	HI	388747	389489	390232	389850	388879	387779	387335	386662	385784	385115	384642	384091	383639	382804	382020	382001	382599	21.2765308	-157.8257819
55	Tulsa, OK	OK	61271	61161	61125	61165	61419	61683	62019	62190	62426	62674	63031	63267	63765	64346	64935	65488	65954	36.1539816	-95.99277500000001
56	Fresno, CA	CA	126919	127150	127361	127507	127215	127205	127762	129040	129620	129641	128843	128868	129228	129960	130750	131466	132172	36.7377981	-119.7871247
57	Worcester, MA	MA	160796	160278	159645	160074	161261	162509	163224	163404	163515	164276	165212	165942	166977	167996	169186	169742	169685	42.2625932	-71.8022934
58	Stamford, CT	CT	166344	166620	166626	167205	168125	167736	167517	166752	166953	167273	167105	166772	167233	167410	167652	167163	166959	41.0534302	-73.5387341
59	Albuquerque, NM	NM	134448	135477	135705	135990	136558	137985	139724	141268	142356	142238	142248	142311	142991	143841	145050	146212	147043	35.0843859	-106.650422
60	Albany, NY	NY	129956	130905	131842	132448	132463	132378	132660	132959	133236	133493	133775	133855	133636	133324	133136	133145	133675	42.6525793	-73.7562317
61	Omaha, NE	NE	100554	100671	100992	101451	102260	102906	103359	103949	104541	104947	105144	105353	106036	106964	107668	108026	108084	41.2565369	-95.9345034
62	New Haven, CT	CT	106049	106175	105777	105892	106332	107145	107725	108313	108431	108597	108974	109525	110527	111306	112063	112544	112890	41.308274	-72.9278835
63	Bakersfield, CA	CA	102169	102391	102435	102508	103150	104525	105793	106596	106869	107124	108097	108980	109774	109909	110163	110201	109543	35.3732921	-119.0187125
64	Knoxville, TN	TN	95061	95403	96036	96872	97417	97699	97748	98450	99344	100426	101211	102045	103020	104161	105183	105913	106820	35.9606384	-83.9207392
65	Greenville, SC	SC	109436	110424	111298	111916	112354	112887	113762	114731	115658	116409	116157	115796	115609	116291	117149	118154	119199	34.85261759999999	-82.3940104
66	Ventura, CA	CA	354644	354043	353855	355004	355688	356017	355861	355463	355691	356626	357766	358967	359399	359772	359949	360376	360401	34.2804923	-119.2945199
67	Allentown, PA	PA	131018	131450	131892	132064	132378	132677	133301	133959	134640	135237	135811	136298	136796	137235	137785	138592	139424	40.6022939	-75.4714098
68	El Paso, TX	TX	83045	83964	84588	84708	85036	84877	85357	85623	85646	85128	85030	85010	85001	84922	85269	85998	86173	31.7618778	-106.4850217
69	Baton Rouge, LA	LA	103639	102964	102209	101726	101713	101826	101849	101891	101837	101646	101512	101410	101486	101815	102465	103262	103864	30.4514677	-91.18714659999999
70	Dayton, OH	OH	47283	47675	47929	48484	48836	49194	49436	49754	50136	50450	50801	51059	51625	52093	52755	53232	53760	39.7589478	-84.1916069
71	McAllen, TX	TX	53112	52695	52337	52739	53076	53357	53572	53630	53924	54092	54397	54535	54909	55063	54997	54590	54231	26.2034071	-98.23001239999999
72	Columbia, SC	SC	76768	76884	76926	77077	77373	77735	78308	78767	79323	79776	80224	80689	81233	81668	82226	82525	82898	34.0007104	-81.0348144
73	Greensboro, NC	NC	69294	69851	70395	70949	71666	72241	72824	73434	74200	74921	75539	76015	76708	77275	77818	78390	79028	36.0726354	-79.7919754
74	Akron, OH	OH	61764	62173	62289	62330	62419	62915	63235	63526	63755	63792	63915	64018	64436	64823	65428	65896	66434	41.0814447	-81.51900529999999
75	North Port-Sarasota-Bradenton, FL	FL	132046	132947	133281	133223	132734	132762	133184	133523	133975	134212	134486	134729	135018	135235	135814	136438	137452	27.3959334	-82.5185837
76	Little Rock, AR	AR	86911	87818	88437	89471	89905	91029	91791	92625	93032	93133	92573	91904	91106	90643	90673	90489	90421	34.7464809	-92.28959479999999
77	Stockton, CA	CA	192250	192355	193915	193369	193841	193459	193874	193373	193410	193119	193654	194858	195389	196384	196776	198405	199247	37.9577016	-121.2907796
78	Charleston, SC	SC	214385	214753	215859	217095	218021	218502	218958	219423	219618	219918	220495	221350	222350	223594	224417	225303	226145	32.7764749	-79.93105120000001
79	Syracuse, NY	NY	89888	89858	89695	89860	90340	90912	91325	91386	91457	91567	91796	92157	92430	92852	93387	93807	93894	43.0481221	-76.14742439999999
80	Colorado Springs, CO	CO	190183	190733	191806	192878	193994	196071	198305	200460	201961	203476	205072	207377	209824	212555	215247	217998	220621	38.8338816	-104.8213634
81	Wichita, KS	KS	55410	55398	55615	55966	56263	56423	56690	56769	56998	57271	57454	57732	58288	58939	59316	59655	60099	37.68717609999999	-97.33005299999999
82	Springfield, MA	MA	130986	131043	131552	132427	133449	133909	134356	134517	134824	135023	135700	136179	136948	137839	138587	139440	139977	42.1014831	-72.589811
83	Fort Myers, FL	FL	133845	133940	133611	133983	133780	133747	134147	134638	135127	135085	135207	135165	135974	136557	137381	138086	139019	26.640628	-81.8723084
84	Boise City, ID	ID	199064	202003	205730	207252	209018	210671	212851	214974	216994	218387	219987	222209	224178	226205	227549	230265	232538	43.6150186	-116.2023137
85	Toledo, OH	OH	48631	48260	47468	46873	46950	47242	47666	47458	47785	48000	48584	48940	49549	50346	51272	51849	51753	41.6528052	-83.5378674
86	Madison, WI	WI	172194	173381	174010	174770	175272	176288	177043	177770	178162	178901	179644	180515	181142	181747	182209	182568	182631	43.0730517	-89.4012302
87	Lakeland, FL	FL	59757	60049	60039	60069	60690	61504	62178	62373	62387	62407	62819	63373	64064	64747	65545	66144	66296	28.0394654	-81.9498042
88	Ogden, UT	UT	170695	173249	176332	178083	178841	179332	180641	182322	183631	184655	185626	187432	189024	190343	191620	193334	196298	41.223	-111.9738304
89	Daytona Beach, FL	FL	122127	122793	123658	124050	124945	125545	126480	127188	127806	128450	129070	129332	129696	130252	130657	131049	131261	29.2108147	-81.0228331
90	Des Moines, IA	IA	118593	118510	118547	118155	118265	118418	118661	118714	118710	119097	119437	119506	119920	120703	121250	121701	121371	41.5868353	-93.6249593
91	Jackson, MS	MS	80004	80417	80800	81592	82032	82542	82880	83513	83796	83989	83586	83330	83032	82623	81957	81066	80292	32.2987573	-90.1848103
92	Youngstown, OH	OH	42200	42451	42781	42895	42523	42248	42010	42084	42004	42159	42363	42651	42797	42962	42930	43007	43327	41.0997803	-80.6495194
93	Augusta, GA	GA	104221	104430	104949	105732	106360	106677	106884	107187	107455	107834	108158	108573	108773	109111	109061	109053	109155	33.4734978	-82.0105148
94	Scranton, PA	PA	83671	84018	84121	84299	84085	83907	83741	84096	84593	84542	84161	83566	83375	83266	83289	83320	83664	41.408969	-75.66241219999999
95	Harrisburg, PA	PA	96979	97397	97158	97338	97325	97694	97922	98214	98588	99020	99491	99918	100425	100960	101860	102576	103442	40.2731911	-76.8867008
96	Melbourne, FL	FL	100113	101564	101958	102236	102169	102856	103381	103668	103579	103985	104530	104867	105147	105429	106446	107403	108425	28.0836269	-80.60810889999999
97	Chattanooga, TN	TN	130158	131240	132097	132519	133041	133369	133832	134159	134532	134592	134406	134118	134279	134789	135419	135778	136103	35.0456297	-85.3096801
98	Spokane, WA	WA	142695	143873	144801	146112	147402	149001	150141	151235	152527	154231	155782	157211	158971	160758	162947	164508	165942	47.6587802	-117.4260465
99	Provo, UT	UT	241783	242552	243251	243334	243863	244674	245592	246645	247785	248878	249288	249773	250757	252435	254237	256454	258299	40.2338438	-111.6585337
100	Lancaster, PA	PA	146624	146793	145940	145637	145530	146325	146861	147252	147501	147669	147774	147864	148502	149317	150716	151549	152404	40.0378755	-76.3055144
101	Modesto, CA	CA	182374	182713	183895	186650	188858	190852	193121	196627	198064	198995	199010	200110	201088	203590	205333	206443	207714	37.6392595	-120.9970014
102	Portland, ME	ME	223050	223075	223131	223912	225456	226891	228490	229551	230863	232513	234167	235734	237569	239421	241347	243251	244771	43.6590993	-70.2568189
103	Durham, NC	NC	161625	162434	162676	163003	163571	164440	165473	166257	166785	167243	167792	168477	168959	169622	170475	171546	172530	35.9940329	-78.898619
104	Santa Rosa, CA	CA	477178	468153	461894	459775	462367	465177	466569	465861	464496	465607	464558	464421	467038	470213	471241	469635	466738	38.440429	-122.7140548
105	Lexington, KY	KY	110418	111146	111588	112020	111811	111518	111280	111187	111441	111699	112580	113380	114183	114499	114771	115254	115968	38.0405837	-84.5037164
106	Lafayette, LA	LA	82669	82329	81769	82150	82466	82672	82252	82306	82476	82933	83071	82813	82781	82856	83363	83451	83555	30.2240897	-92.0198427
107	Lansing, MI	MI	84667	84963	85163	85455	85766	85878	85758	85603	85876	86371	86744	86901	87063	87323	87620	87773	87993	42.732535	-84.5555347
108	Fayetteville, AR	AR	122215	122519	123516	124436	125468	126624	127690	129157	129841	129841	129266	129368	130114	131430	132175	132737	132979	36.082156	-94.17185420000001
109	Pensacola, FL	FL	134327	135192	135875	136291	136827	137439	138260	138884	139657	140498	141373	142114	143132	144344	145676	146772	147867	30.42130899999999	-87.2169149
110	Visalia, CA	CA	123519	123352	122871	123456	123698	124370	124795	125600	127058	128878	130735	132272	133396	135040	136840	138619	141121	36.3302284	-119.2920585
111	Shreveport, LA	LA	45264	44657	44816	44730	45269	45557	46149	46479	46456	46368	46291	46691	47210	47923	48218	48502	48453	32.5251516	-93.7501789
112	Springfield, MO	MO	53268	53779	54231	54101	53605	53661	54230	54592	55099	55382	55911	56434	56765	57573	58559	59811	61146	37.2089572	-93.29229889999999
113	York, PA	PA	100215	99635	99274	98880	98898	99232	99659	99827	99975	100832	101724	102999	103861	104883	105574	106402	106609	39.9625984	-76.727745
114	Corpus Christi, TX	TX	102461	102322	103376	105035	106357	106728	106512	106540	107070	107906	109040	110218	111508	112563	113080	113135	113467	27.8005828	-97.39638099999999
115	Flint, MI	MI	50789	51410	51609	52067	52454	53193	53904	54492	54918	55026	55160	55092	55155	55230	55626	55692	55686	43.0125274	-83.6874562
116	Reno, NV	NV	175845	176159	176163	177037	177338	177273	177024	176910	177582	178534	178674	178791	179452	179524	179302	178278	177949	39.5296329	-119.8138027
117	Asheville, NC	NC	180566	181157	182044	183044	183992	184909	185926	186922	187859	188521	189846	191287	193323	194772	196232	197410	198902	35.5950581	-82.5514869
118	Santa Maria-Santa Barbara, CA	CA	576883	578470	577632	574348	571209	570262	568917	566245	563524	563256	562871	562063	560693	559851	559624	560895	562164	34.9530337	-120.4357191
119	Huntsville, AL	AL	68092	68355	68587	69012	69302	69601	69593	69888	70463	71304	72144	73241	74332	75517	76817	77980	79155	34.7303688	-86.5861037
120	Fort Wayne, IN	IN	58660	58979	59445	59971	60454	60755	60932	61258	61794	62506	63093	63577	64055	64611	65081	65403	65745	41.079273	-85.1393513
121	Salinas, CA	CA	512424	512080	511936	513635	514583	515155	514718	515083	515144	515146	515563	515963	517695	518179	518735	517434	517900	36.6777372	-121.6555013
122	Vallejo, CA	CA	267906	267508	265969	266394	266353	266542	268075	268981	270707	271747	272381	272206	274162	275922	278818	281149	283826	38.1040864	-122.2566367
123	Mobile, AL	AL	69923	69678	69531	69455	69338	69331	69427	69725	70071	70209	70425	70460	70674	71133	71433	71520	71545	30.6953657	-88.0398912
124	Reading, PA	PA	108030	108479	108904	109320	109989	110881	111749	112461	113270	114186	114750	115356	115767	116330	116851	117342	117464	40.3356483	-75.9268747
125	Brownsville, TX	TX	82036	82635	83362	83927	84239	84659	85074	85701	86069	86525	86985	87533	87935	88251	88715	89292	90156	25.9017472	-97.4974838
126	Killeen, TX	TX	70665	71366	71750	72074	72498	73286	73718	73640	73408	73448	73751	74173	74651	75193	76084	77317	78652	31.1171194	-97.72779589999999
127	Canton, OH	OH	64143	64785	65202	65817	66283	66907	67397	67759	68006	68533	69152	69845	70232	70556	70978	71371	71793	40.79894729999999	-81.378447
128	Beaumont, TX	TX	72510	72829	73473	74129	74267	74173	74146	74349	74771	75428	76388	77453	78298	78557	78639	78879	79859	30.080174	-94.1265562
129	Manchester, NH	NH	132811	133320	132986	132799	133338	134515	135779	136196	136569	137218	138136	139007	139923	140879	142522	144142	145310	42.9956397	-71.4547891
130	Salem, OR	OR	181589	181884	183385	185143	187098	188347	188880	188697	188662	189771	191122	192957	194301	195874	196230	196444	196304	44.9428975	-123.0350963
131	Anchorage, AK	AK	155153	156375	158299	161781	162458	162753	162194	162724	163222	163846	164788	165737	166989	166634	166021	164327	164761	61.2180556	-149.9002778
132	Davenport, IL	IL	79726	81227	82183	82998	83207	83472	83200	83333	83239	83433	83618	83822	83546	82833	82268	81984	82063	41.5236437	-90.5776367
133	Peoria, IL	IL	40843	40836	40736	40747	40711	40910	41066	41371	41589	41940	42170	42258	42201	42111	42089	42039	41983	40.6936488	-89.5889864
134	Myrtle Beach, SC	SC	97072	97954	98215	98343	98061	98131	98331	98581	98873	99021	99317	99540	99742	99624	99739	99981	100552	33.6890603	-78.8866943
135	Montgomery, AL	AL	67556	67144	67856	68659	69490	69330	69106	69203	69758	70445	70849	71117	71101	71327	71106	70819	70402	32.3792233	-86.3077368
136	Salisbury, MD	DE	157321	157825	158210	158674	158896	159180	159320	159715	160068	160330	160493	160895	161179	161557	161999	162245	162397	38.3606736	-75.5993692
137	Gulfport, MS	MS	72235	72548	72783	73094	73606	73912	74298	74448	74761	75228	75683	76052	76297	76389	76507	76568	76410	30.3674198	-89.0928155
138	Tallahassee, FL	FL	132037	132590	133143	133750	133938	134274	134828	135446	135974	136234	136447	136738	137040	136954	136828	136739	137053	30.4382559	-84.28073289999999
139	Trenton, NJ	NJ	121882	121772	122806	123322	124384	124894	125469	125720	126007	126534	127281	128112	128248	128332	127841	127739	127040	40.2205824	-74.759717
140	Fayetteville, NC	NC	80344	80997	80304	78592	76585	75354	73918	73407	73014	72706	73019	73474	73893	74123	75095	76427	78339	35.0526641	-78.87835849999999
141	Hickory, NC	NC	84163	84045	84577	85279	86326	86935	87550	87994	88601	89012	89071	88869	88472	87928	86623	84625	82100	35.7344538	-81.3444573
142	Huntington, WV	WV	50944	51174	51463	51714	51840	51867	51942	52193	52524	52777	52766	52726	52606	52554	52479	52416	52495	38.4192496	-82.44515400000002
143	Eugene, OR	OR	223275	224192	224971	226291	227781	230007	232087	234167	235900	237506	238747	240273	241831	243440	245346	246803	247949	44.0520691	-123.0867536
144	Rockford, IL	IL	54739	55313	56050	56497	56847	57011	57088	57108	56819	56930	57127	57144	56624	55745	54945	54489	54196	42.2711311	-89.0939952
145	Savannah, GA	GA	175292	175938	175948	174847	173537	172906	174273	175079	175857	176031	176071	175743	176456	176638	177560	179384	181747	32.0808989	-81.091203
146	Ann Arbor, MI	MI	210244	211468	211835	211791	212554	214051	214840	215280	213871	212992	212624	213384	214542	215879	217272	217916	218813	42.2808256	-83.7430378
147	Ocala, FL	FL	57886	58450	59303	60080	60571	60687	60871	61297	61848	62305	62517	62826	63254	63570	63785	64071	64498	29.1871986	-82.14009229999999
148	Kalamazoo, MI	MI	102798	103248	104244	105299	106191	106642	107133	107181	107251	107122	107359	107749	108656	109361	109717	109770	110018	42.2917069	-85.5872286
149	Naples, FL	FL	196685	196788	197148	197378	197267	196853	196773	197031	197147	196960	196935	197592	198280	199219	200348	201348	202336	26.1420358	-81.7948103
150	South Bend, IN	IN	69252	69812	70250	70125	70397	70917	71084	71171	70924	71064	71278	71621	71719	72064	72480	73540	74310	41.6763545	-86.25198979999999
151	Spartanburg, SC	SC	63531	63630	63920	64122	64266	64222	64367	64623	65175	65618	65985	66350	66931	67805	68716	69374	70090	34.9495672	-81.9320482
152	Evansville, IN	IN	54452	54391	54560	54550	54809	54976	54969	55104	55061	55412	55502	55703	55774	56103	56262	56469	56410	37.9715592	-87.5710898
153	Kingsport, TN	TN	63962	64313	64595	64841	65083	65345	65473	65689	65870	66162	66272	66330	66238	66287	66335	66453	66614	36.548434	-82.5618186
154	Roanoke, VA	VA	91748	92271	92971	93430	93747	93880	94191	94584	95149	95671	95973	96102	96246	96213	96132	96148	96299	37.2709704	-79.9414266
155	Green Bay, WI	WI	95076	95973	96502	97030	97508	98426	99309	100052	100642	101129	101730	102284	102911	103338	103797	104228	104756	44.5133188	-88.0132958
156	Lincoln, NE	NE	163873	164552	165274	165936	166253	166514	166502	166426	166421	166794	167409	168129	168683	169224	170012	170858	172030	40.813616	-96.7025955
157	Fort Collins, CO	CO	267200	268920	269998	269976	269663	269237	270151	270060	270488	270208	270318	270207	270508	270597	271505	273168	274982	40.5852602	-105.084423
158	Utica, NY	NY	86475	86783	87403	87532	87757	87946	88443	88872	89278	89795	90473	91276	91563	91787	91809	91981	91888	43.100903	-75.232664
159	Columbus, GA	GA	44912	45759	46395	46215	45514	44701	44315	44161	44256	44327	44746	45028	45191	45148	45493	46417	47946	32.4609764	-84.9877094
160	Boulder, CO	CO	319385	319969	321099	322350	323903	325743	326703	327432	327957	328399	329466	331335	332887	333000	332744	332257	331525	40.0149856	-105.2705456
161	Lubbock, TX	TX	81432	81714	81311	81010	81148	81698	82309	82472	82536	82665	83362	83842	84252	84981	86580	88382	90084	33.5778631	-101.8551665
162	Erie, PA	PA	80005	80303	81035	81880	82172	82010	81620	81621	81739	82053	82263	82328	82685	83013	83342	83709	84547	42.12922409999999	-80.085059
163	Fort Smith, AR	AR	52029	52414	52671	52858	52936	53170	53324	53512	53766	53927	54126	54291	54375	54290	54276	54394	54649	35.3859242	-94.39854749999999
164	Duluth, MN	MN	114186	114211	114406	114953	115781	116395	117225	117694	118744	119256	120002	120159	120732	121631	122484	122869	123084	46.78667189999999	-92.1004852
165	Atlantic City, NJ	NJ	113124	114122	114784	115572	115950	116591	116883	117459	118088	118726	119155	119596	119963	120814	121616	122244	123096	39.3642834	-74.4229266
166	New London, CT	CT	119479	120311	121034	121343	121152	121129	121503	121289	121718	121596	121819	121810	122128	122000	121375	120799	120218	41.3556539	-72.0995209
167	San Luis Obispo, CA	CA	470614	468274	469420	472467	477851	479050	478164	479335	481203	484059	485390	487475	489926	493197	494610	494979	492970	35.2827524	-120.6596156
168	Gainesville, FL	FL	81542	81838	81853	82207	82660	83260	83919	84542	85403	86220	86849	87439	88214	89282	90248	90883	91362	29.6516344	-82.32482619999999
169	Santa Cruz, CA	CA	590500	589348	583154	579667	576828	579459	583244	582627	581993	581009	579378	576489	573025	570460	570239	569718	566769	36.9741171	-122.0307963
170	Cedar Rapids, IA	IA	70019	70498	71127	71759	72009	71857	71764	71991	72118	72652	73145	73523	73600	73557	73403	73017	72802	41.9778795	-91.6656232
171	Merced, CA	CA	160660	159393	157321	156563	158850	161516	163076	164054	165596	167500	168275	168722	169060	171192	174159	176414	177129	37.3021632	-120.4829677
172	Wilmington, NC	NC	174872	175414	176241	177475	178649	179752	180847	182300	183531	184709	185746	187112	188320	189938	191503	193352	195032	34.2103894	-77.8868117
173	Kennewick, WA	WA	166452	169559	172007	174283	177374	180445	183031	185050	187065	188925	190117	190859	191109	191111	191276	190945	189722	46.2086683	-119.119948
174	Greeley, CO	CO	250450	251786	252698	252676	253400	254637	255777	257102	258081	258948	260395	261573	263328	266160	269392	272190	274334	40.4233142	-104.7091322
175	Waco, TX	TX	67360	68175	69098	69748	69752	69781	70624	71950	73761	74782	75791	76611	77667	78474	79497	80643	82144	31.549333	-97.1466695
